name,patches,version,runs,status
Skirk,-,-,0,NEXT
Shenhe,4,5.3,3,NEXT
Mavuika,4,5.3,1,NEXT
Emilie,8,4.8,1,NEXT
Cyno,14,4.2,3,-
Albedo,11,4.5,4,-
Eula,11,4.5,4,-
Klee,11,4.5,5,-
Wanderer,10,4.6,3,-
Alhaitham,9,4.7,3,-
Nilou,8,4.8,3,-
Yelan,8,4.8,4,-
Mualani,7,5.0,1,-
Nahida,6,5.1,4,-
Hu Tao,6,5.1,5,-
Chasca,5,5.2,1,-
Lyney,5,5.2,3,-
Zhongli,5,5.2,6,-
Neuvillette,5,5.2,3,-
Citlali,4,5.3,1,-
Arlecchino,4,5.3,2,-
Clorinde,4,5.3,2,-
Baizhu,4,5.3,4,-
Ganyu,4,5.3,5,-
Xiao,4,5.3,6,-
Childe,4,5.3,6,-
Sigewinne,3,5.4,2,-
Furina,3,5.4,3,-
Wriothesley,3,5.4,2,-
Varesa,2,5.5,1,-
Xianyun,2,5.5,2,-
Xilonen,2,5.5,2,-
Venti,2,5.5,6,-
Escoffier,1,5.6,1,-
Navia,1,5.6,3,-
Kinich,1,5.6,2,-
Raiden Shogun,1,5.6,6,-
Ayaka,1,5.6,5,-
Ayato,1,5.6,4,-
Yoimiya,1,5.6,6,-
Chiori,1,5.6,3,-
Yae Miko,1,5.6,5,-
Itto,1,5.6,5,-
Kokomi,1,5.6,5,-
Kazuha,1,5.6,6,-
