name,patches,version,runs,status
Chasca,-,-,0,NEXT
Lyney,5,4.6,2,NEXT
Zhongli,11,4.0,5,NEXT
Neuvillette,6,4.5,2,NEXT
Shenhe,15,3.5,2,-
Ganyu,14,3.6,4,-
Kokomi,12,3.8,4,-
Childe,11,4.0,5,-
Wriothesley,10,4.1,1,-
Venti,10,4.1,5,-
Cyno,9,4.2,3,-
Ayato,9,4.2,3,-
Ayaka,8,4.3,4,-
Yoimiya,8,4.3,5,-
Xianyun,7,4.4,1,-
Xiao,7,4.4,5,-
Yae Miko,7,4.4,4,-
Itto,6,4.5,4,-
Albedo,6,4.5,4,-
Eula,6,4.5,4,-
Klee,6,4.5,5,-
Arlecchino,5,4.6,1,-
Wanderer,5,4.6,3,-
Baizhu,5,4.6,3,-
Clorinde,4,4.7,1,-
Al Haitham,4,4.7,3,-
Sigewinne,4,4.7,1,-
Furina,4,4.7,2,-
Navia,3,4.8,2,-
Nilou,3,4.8,3,-
Emilie,3,4.8,1,-
Yelan,3,4.8,4,-
Mualani,2,5.0,1,-
Kazuha,2,5.0,5,-
Kinich,2,5.0,1,-
Raiden Shogun,2,5.0,5,-
Xilonen,1,5.1,1,-
Chiori,1,5.1,2,-
Nahida,1,5.1,4,-
Hu Tao,1,5.1,5,-
