name,patches,version,runs,status
Navia,-,-,-,DONE
Ayaka,7,3.5,3,DONE
Raiden Shogun,9,3.3,3,DONE
Yoimiya,5,3.7,4,DONE
Albedo,11,3.1,3,-
Itto,9,3.3,3,-
Xiao,8,3.4,4,-
Shenhe,7,3.5,2,-
Nahida,6,3.6,2,-
Nilou,6,3.6,2,-
Ganyu,6,3.6,4,-
Yae Miko,5,3.7,3,-
Kazuha,5,3.7,3,-
Alhaitham,5,3.7,2,-
Eula,4,3.8,3,-
Klee,4,3.8,4,-
Kokomi,4,3.8,4,-
Wanderer,4,3.8,2,-
Lyney,3,4.0,1,-
Yelan,3,4.0,3,-
Zhongli,3,4.0,5,-
Childe,3,4.0,5,-
Neuvillette,2,4.1,1,-
Hu Tao,2,4.1,4,-
Wriothesley,2,4.1,1,-
Venti,2,4.1,5,-
Furina,1,4.2,1,-
Baizhu,1,4.2,2,-
Cyno,1,4.2,3,-
Ayato,1,4.2,3,-
