name,patches,version,runs,status
Varesa,-,-,0,DONE
Xianyun,10,4.4,1,DONE
Xilonen,4,5.1,1,DONE
Venti,13,4.1,5,DONE
Kokomi,15,3.8,4,-
Cyno,12,4.2,3,-
Ayato,12,4.2,3,-
Ayaka,11,4.3,4,-
Yoimiya,11,4.3,5,-
Yae Miko,10,4.4,4,-
Itto,9,4.5,4,-
Albedo,9,4.5,4,-
Eula,9,4.5,4,-
Klee,9,4.5,5,-
Wanderer,8,4.6,3,-
Al Haitham,7,4.7,3,-
Navia,6,4.8,2,-
Nilou,6,4.8,3,-
Emilie,6,4.8,1,-
Yelan,6,4.8,4,-
Mualani,5,5.0,1,-
Kazuha,5,5.0,5,-
Kinich,5,5.0,1,-
Raiden Shogun,5,5.0,5,-
Chiori,4,5.1,2,-
Nahida,4,5.1,4,-
Hu Tao,4,5.1,5,-
Chasca,3,5.2,1,-
Lyney,3,5.2,3,-
Zhongli,3,5.2,6,-
Neuvillette,3,5.2,3,-
Mavuika,2,5.3,1,-
Citlali,2,5.3,1,-
Arlecchino,2,5.3,2,-
Clorinde,2,5.3,2,-
Baizhu,2,5.3,4,-
Shenhe,2,5.3,3,-
Keqing,2,5.3,1,-
Ganyu,2,5.3,5,-
Xiao,2,5.3,6,-
Childe,2,5.3,6,-
Qiqi,2,5.3,1,-
Sigewinne,1,5.4,2,-
Furina,1,5.4,3,-
Wriothesley,1,5.4,2,-
