name,patches,version,runs,status
Ineffa,-,-,0,NEXT
Citlali,5,5.3,1,NEXT
Mualani,8,5.0,1,NEXT
Chasca,6,5.2,1,NEXT
Cyno,15,4.2,3,-
Albedo,12,4.5,4,-
Eula,12,4.5,4,-
Klee,12,4.5,5,-
Wanderer,11,4.6,3,-
Alhaitham,10,4.7,3,-
Nilou,9,4.8,3,-
Yelan,9,4.8,4,-
Nahida,7,5.1,4,-
Hu Tao,7,5.1,5,-
Lyney,6,5.2,3,-
Zhongli,6,5.2,6,-
Neuvillette,6,5.2,3,-
Arlecchino,5,5.3,2,-
Clorinde,5,5.3,2,-
Baizhu,5,5.3,4,-
Ganyu,5,5.3,5,-
Xiao,5,5.3,6,-
Childe,5,5.3,6,-
Sigewinne,4,5.4,2,-
Furina,4,5.4,3,-
Wriothesley,4,5.4,2,-
Varesa,3,5.5,1,-
Xianyun,3,5.5,2,-
Xilonen,3,5.5,2,-
Venti,3,5.5,6,-
Escoffier,2,5.6,1,-
Navia,2,5.6,3,-
Kinich,2,5.6,2,-
Raiden Shogun,2,5.6,6,-
Ayaka,2,5.6,5,-
Ayato,2,5.6,4,-
Yoimiya,2,5.6,6,-
Chiori,2,5.6,3,-
Yae Miko,2,5.6,5,-
Itto,2,5.6,5,-
Kokomi,2,5.6,5,-
Kazuha,2,5.6,6,-
Skirk,1,5.7,1,-
Shenhe,1,5.7,4,-
Mavuika,1,5.7,2,-
Emilie,1,5.7,2,-
