name,patches,version,runs,status
Navia,5,4.3,1,DONE
Nilou,11,3.6,2,DONE
Emilie,-,-,0,ACTIVE
Yelan,8,4.0,3,ACTIVE
Shenhe,12,3.5,2,-
Ganyu,11,3.6,4,-
Kokomi,9,3.8,4,-
Zhongli,8,4.0,5,-
Childe,8,4.0,5,-
Hu Tao,7,4.1,4,-
Wriothesley,7,4.1,1,-
Venti,7,4.1,5,-
Cyno,6,4.2,3,-
Ayato,6,4.2,3,-
Ayaka,5,4.3,4,-
Raiden Shogun,5,4.3,4,-
Yoimiya,5,4.3,5,-
Xianyun,4,4.4,1,-
Nahida,4,4.4,3,-
Xiao,4,4.4,5,-
Yae Miko,4,4.4,4,-
Chiori,3,4.5,1,-
Itto,3,4.5,4,-
Neuvillette,3,4.5,2,-
Kazuha,3,4.5,4,-
Albedo,3,4.5,4,-
Eula,3,4.5,4,-
Klee,3,4.5,5,-
Arlecchino,2,4.6,1,-
Lyney,2,4.6,2,-
Wanderer,2,4.6,3,-
Baizhu,2,4.6,3,-
Clorinde,1,4.7,1,-
Al Haitham,1,4.7,3,-
Sigewinne,1,4.7,1,-
Furina,1,4.7,2,-
