name,patches,version,runs,status
Mizuki,STANDARD,-,0,NEXT
Sigewinne,6,4.7,1,NEXT
Furina,6,4.7,2,NEXT
Wriothesley,12,4.1,1,NEXT
Kokomi,14,3.8,4,-
Venti,12,4.1,5,-
Cyno,11,4.2,3,-
Ayato,11,4.2,3,-
Ayaka,10,4.3,4,-
Yoimiya,10,4.3,5,-
Xianyun,9,4.4,1,-
Yae Miko,9,4.4,4,-
Itto,8,4.5,4,-
Albedo,8,4.5,4,-
Eula,8,4.5,4,-
Klee,8,4.5,5,-
Wanderer,7,4.6,3,-
Alhaitham,6,4.7,3,-
Navia,5,4.8,2,-
Nilou,5,4.8,3,-
Emilie,5,4.8,1,-
Yelan,5,4.8,4,-
Mualani,4,5.0,1,-
Kazuha,4,5.0,5,-
Kinich,4,5.0,1,-
Raiden Shogun,4,5.0,5,-
Xilonen,3,5.1,1,-
Chiori,3,5.1,2,-
Nahida,3,5.1,4,-
Hu Tao,3,5.1,5,-
Chasca,2,5.2,1,-
Lyney,2,5.2,3,-
Zhongli,2,5.2,6,-
Neuvillette,2,5.2,3,-
Mavuika,1,5.3,1,-
Citlali,1,5.3,1,-
Arlecchino,1,5.3,2,-
Clorinde,1,5.3,2,-
Baizhu,1,5.3,4,-
Shenhe,1,5.3,3,-
Ganyu,1,5.3,5,-
Xiao,1,5.3,6,-
Childe,1,5.3,6,-
