name,patches,version,runs,status
Furina,-,-,-,DONE
Baizhu,5,3.6,1,DONE
Cyno,6,3.5,2,DONE
Ayato,8,3.3,2,DONE
Albedo,10,3.1,3,-
Itto,8,3.3,3,-
Raiden Shogun,8,3.3,3,-
Xiao,7,3.4,4,-
Ayaka,6,3.5,3,-
Shenhe,6,3.5,2,-
Nahida,5,3.6,2,-
Nilou,5,3.6,2,-
Ganyu,5,3.6,4,-
Yoimiya,4,3.7,4,-
Yae Miko,4,3.7,3,-
Kazuha,4,3.7,3,-
Alhaitham,4,3.7,2,-
Eula,3,3.8,3,-
Klee,3,3.8,4,-
Kokomi,3,3.8,4,-
Wanderer,3,3.8,2,-
Lyney,2,4.0,1,-
Yelan,2,4.0,3,-
Zhongli,2,4.0,5,-
Childe,2,4.0,5,-
Neuvillette,1,4.1,1,-
Hu Tao,1,4.1,4,-
Wriothesley,1,4.1,1,-
Venti,1,4.1,5,-
