name,patches,version,runs,status
Mualani,-,-,0,NEXT
Kazuha,4,4.5,4,NEXT
Kinich,-,-,0,NEXT
Raiden Shogun,6,4.3,4,NEXT
Shenhe,13,3.5,2,-
Ganyu,12,3.6,4,-
Kokomi,10,3.8,4,-
Zhongli,9,4.0,5,-
Childe,9,4.0,5,-
Hu Tao,8,4.1,4,-
Wriothesley,8,4.1,1,-
Venti,8,4.1,5,-
Cyno,7,4.2,3,-
Ayato,7,4.2,3,-
Ayaka,6,4.3,4,-
Yoimiya,6,4.3,5,-
Xianyun,5,4.4,1,-
Nahida,5,4.4,3,-
Xiao,5,4.4,5,-
Yae Miko,5,4.4,4,-
Chiori,4,4.5,1,-
Itto,4,4.5,4,-
Neuvillette,4,4.5,2,-
Albedo,4,4.5,4,-
Eula,4,4.5,4,-
Klee,4,4.5,5,-
Arlecchino,3,4.6,1,-
Lyney,3,4.6,2,-
Wanderer,3,4.6,3,-
Baizhu,3,4.6,3,-
Clorinde,2,4.7,1,-
Al Haitham,2,4.7,3,-
Sigewinne,2,4.7,1,-
Furina,2,4.7,2,-
Navia,1,4.8,2,-
Nilou,1,4.8,3,-
Emilie,1,4.8,1,-
Yelan,1,4.8,4,-
