name,patches,version,runs,status
Neuvillette,-,-,0,DONE
Hu Tao,6,3.4,3,DONE
Wriothesley,-,-,0,DONE
Venti,9,3.1,4,DONE
Albedo,9,3.1,3,-
Itto,7,3.3,3,-
Raiden Shogun,7,3.3,3,-
Ayato,7,3.3,2,-
Xiao,6,3.4,4,-
Cyno,5,3.5,2,-
Ayaka,5,3.5,3,-
Shenhe,5,3.5,2,-
Nahida,4,3.6,2,-
Nilou,4,3.6,2,-
Baizhu,4,3.6,1,-
Ganyu,4,3.6,4,-
Yoimiya,3,3.7,4,-
Yae Miko,3,3.7,3,-
Kazuha,3,3.7,3,-
Al Haitham,3,3.7,2,-
Eula,2,3.8,3,-
Klee,2,3.8,4,-
Kokomi,2,3.8,4,-
Wanderer,2,3.8,2,-
Lyney,1,4.0,1,-
Yelan,1,4.0,3,-
Zhongli,1,4.0,5,-
Childe,1,4.0,5,-
