name,patches,version,runs,status
Xilonen,-,-,0,DONE
Chiori,5,4.5,1,DONE
Nahida,6,4.4,3,ACTIVE
Hu Tao,9,4.1,4,ACTIVE
Shenhe,14,3.5,2,-
Ganyu,13,3.6,4,-
Kokomi,11,3.8,4,-
Zhongli,10,4.0,5,-
Childe,10,4.0,5,-
Wriothesley,9,4.1,1,-
Venti,9,4.1,5,-
Cyno,8,4.2,3,-
Ayato,8,4.2,3,-
Ayaka,7,4.3,4,-
Yoimiya,7,4.3,5,-
Xianyun,6,4.4,1,-
Xiao,6,4.4,5,-
Yae Miko,6,4.4,4,-
Itto,5,4.5,4,-
Neuvillette,5,4.5,2,-
Albedo,5,4.5,4,-
Eula,5,4.5,4,-
Klee,5,4.5,5,-
Arlecchino,4,4.6,1,-
Lyney,4,4.6,2,-
Wanderer,4,4.6,3,-
Baizhu,4,4.6,3,-
Clorinde,3,4.7,1,-
Al Haitham,3,4.7,3,-
Sigewinne,3,4.7,1,-
Furina,3,4.7,2,-
Navia,2,4.8,2,-
Nilou,2,4.8,3,-
Emilie,2,4.8,1,-
Yelan,2,4.8,4,-
Mualani,1,5.0,1,-
Kazuha,1,5.0,5,-
Kinich,1,5.0,1,-
Raiden Shogun,1,5.0,5,-
