name,patches,version,runs,status
Arlecchino,-,-,0,DONE
Lyney,6,4.0,1,DONE
Wanderer,7,3.8,2,DONE
Baizhu,4,4.2,2,DONE
Shenhe,10,3.5,2,-
Nilou,9,3.6,2,-
Ganyu,9,3.6,4,-
Alhaitham,8,3.7,2,-
Kokomi,7,3.8,4,-
Yelan,6,4.0,3,-
Zhongli,6,4.0,5,-
Childe,6,4.0,5,-
Hu Tao,5,4.1,4,-
Wriothesley,5,4.1,1,-
Venti,5,4.1,5,-
Furina,4,4.2,1,-
Cyno,4,4.2,3,-
Ayato,4,4.2,3,-
Navia,3,4.3,1,-
Ayaka,3,4.3,4,-
Raiden Shogun,3,4.3,4,-
Yoimiya,3,4.3,5,-
Xianyun,2,4.4,1,-
Nahida,2,4.4,3,-
Xiao,2,4.4,5,-
Yae Miko,2,4.4,4,-
Chiori,1,4.5,1,-
Itto,1,4.5,4,-
Neuvillette,1,4.5,2,-
Kazuha,1,4.5,4,-
Albedo,1,4.5,4,-
Eula,1,4.5,4,-
Klee,1,4.5,5,-
