name,patches,version,runs,status
Xianyun,-,-,0,DONE
Nahida,7,3.6,2,DONE
Xiao,9,3.4,4,DONE
Yae Miko,6,3.7,3,DONE
Albedo,12,3.1,3,-
Itto,10,3.3,3,-
Shenhe,8,3.5,2,-
Nilou,7,3.6,2,-
Ganyu,7,3.6,4,-
Kazuha,6,3.7,3,-
Alhaitham,6,3.7,2,-
Eula,5,3.8,3,-
Klee,5,3.8,4,-
Kokomi,5,3.8,4,-
Wanderer,5,3.8,2,-
Lyney,4,4.0,1,-
Yelan,4,4.0,3,-
Zhongli,4,4.0,5,-
Childe,4,4.0,5,-
Neuvillette,3,4.1,1,-
Hu Tao,3,4.1,4,-
Wriothesley,3,4.1,1,-
Venti,3,4.1,5,-
Furina,2,4.2,1,-
Baizhu,2,4.2,2,-
Cyno,2,4.2,3,-
Ayato,2,4.2,3,-
Navia,1,4.3,1,-
Ayaka,1,4.3,4,-
Raiden Shogun,1,4.3,4,-
Yoimiya,1,4.3,5,-
