name,patches,version,runs,status
Clorinde,-,-,0,DONE
Al Haitham,9,3.7,2,DONE
Sigewinne,-,-,0,ACTIVE
Furina,5,4.2,1,ACTIVE
Shenhe,11,3.5,2,-
Nilou,10,3.6,2,-
Ganyu,10,3.6,4,-
Kokomi,8,3.8,4,-
Yelan,7,4.0,3,-
Zhongli,7,4.0,5,-
Childe,7,4.0,5,-
Hu Tao,6,4.1,4,-
Wriothesley,6,4.1,1,-
Venti,6,4.1,5,-
Cyno,5,4.2,3,-
Ayato,5,4.2,3,-
Navia,4,4.3,1,-
Ayaka,4,4.3,4,-
Raiden Shogun,4,4.3,4,-
Yoimiya,4,4.3,5,-
Xianyun,3,4.4,1,-
Nahida,3,4.4,3,-
Xiao,3,4.4,5,-
Yae Miko,3,4.4,4,-
Chiori,2,4.5,1,-
Itto,2,4.5,4,-
Neuvillette,2,4.5,2,-
Kazuha,2,4.5,4,-
Albedo,2,4.5,4,-
Eula,2,4.5,4,-
Klee,2,4.5,5,-
Arlecchino,1,4.6,1,-
Lyney,1,4.6,2,-
Wanderer,1,4.6,3,-
Baizhu,1,4.6,3,-
